tau    k      algo             exact   vs_best      sec
0.25   50     selfcover          522    0.2481      0.1
0.25   50     truncated         2104    1.0000      0.1
0.25   50     bundle             619    0.2942      0.1
0.25   50     bundle+lns        1242    0.5903     20.1
0.25   500    selfcover         3464    0.3569      0.9
0.25   500    truncated         9705    1.0000      1.1
0.25   500    bundle            4725    0.4869      1.0
0.25   500    bundle+lns        5869    0.6047     21.0
0.25   1000   selfcover         5906    0.4715      1.9
0.25   1000   truncated        12525    1.0000      2.1
0.25   1000   bundle            8444    0.6742      2.0
0.25   1000   bundle+lns        9355    0.7469     21.7
0.5    50     selfcover          194    0.4136      0.1
0.5    50     truncated          469    1.0000      0.1
0.5    50     bundle             215    0.4584      0.1
0.5    50     bundle+lns         374    0.7974     20.1
0.5    500    selfcover         2166    0.4578      0.9
0.5    500    truncated         4731    1.0000      1.1
0.5    500    bundle            2434    0.5145      1.0
0.5    500    bundle+lns        2798    0.5914     21.2
0.5    1000   selfcover         4258    0.4746      2.0
0.5    1000   truncated         8971    1.0000      2.2
0.5    1000   bundle            5117    0.5704      2.0
0.5    1000   bundle+lns        5203    0.5800     22.0
0.75   50     selfcover           49    0.3203      0.1
0.75   50     truncated           70    0.4575      0.1
0.75   50     bundle             104    0.6797      0.2
0.75   50     bundle+lns         153    1.0000     20.2
0.75   500    selfcover          698    0.5228      1.0
0.75   500    truncated         1262    0.9453      1.1
0.75   500    bundle            1070    0.8015      1.0
0.75   500    bundle+lns        1335    1.0000     21.0
0.75   1000   selfcover         1395    0.4105      1.8
0.75   1000   truncated         3398    1.0000      2.0
0.75   1000   bundle            2381    0.7007      1.9
0.75   1000   bundle+lns        2789    0.8208     23.8
