sweep: 9 blocks x 3 radii x 2 swap settings, budget 21600s
tau     k       radius  swap        score      sec
0.25    50      1000    400          2426     165s
0.25    500     1000    400         10592     170s
0.25    1000    1000    400         12818     176s
0.5     50      1000    400           868     164s
0.5     500     1000    400          6150     169s
0.5     1000    1000    400         10180     175s
0.75    50      1000    400           392     165s
0.75    500     1000    400          2932     171s
0.75    1000    1000    400          5533     176s
0.25    50      1000    0            2395     166s
0.25    500     1000    0           10546     173s
0.25    1000    1000    0           12799     181s
0.5     50      1000    0             784     166s
0.5     500     1000    0            5868     171s
0.5     1000    1000    0            9846     178s
0.75    50      1000    0             290     165s
0.75    500     1000    0            2614     171s
0.75    1000    1000    0            5096     175s
0.25    50      1500    400          2442     184s
0.25    500     1500    400         10587     191s
0.25    1000    1500    400         12807     199s
0.5     50      1500    400           870     184s
0.5     500     1500    400          6168     190s
0.5     1000    1500    400         10182     197s
0.75    50      1500    400           387     183s
0.75    500     1500    400          2915     188s
0.75    1000    1500    400          5587     194s
0.25    50      1500    0            2433     183s
0.25    500     1500    0           10613     191s
0.25    1000    1500    0           12810     199s
0.5     50      1500    0             781     184s
0.5     500     1500    0            5862     189s
0.5     1000    1500    0            9868     197s
0.75    50      1500    0             296     184s
0.75    500     1500    0            2593     188s
0.75    1000    1500    0            5129     194s
0.25    50      2000    400          2441     208s
0.25    500     2000    400         10586     215s
0.25    1000    2000    400         12824     223s
0.5     50      2000    400           872     207s
0.5     500     2000    400          6137     214s
0.5     1000    2000    400         10179     220s
0.75    50      2000    400           383     207s
0.75    500     2000    400          2970     212s
0.75    1000    2000    400          5482     219s
0.25    50      2000    0            2442     208s
0.25    500     2000    0           10612     216s
0.25    1000    2000    0           12808     222s
0.5     50      2000    0             762     207s
0.5     500     2000    0            5876     209s
0.5     1000    2000    0            9898     214s
0.75    50      2000    0             281     204s
0.75    500     2000    0            2638     208s
0.75    1000    2000    0            5078     213s
sweep complete with 11278s of budget unused
