run-day input robustness:
  ok   baseline (serviced 127, no false claims)
  ok   id_named_ID (serviced 127, no false claims)
  ok   id_string (serviced 127, no false claims)
  ok   id_building_id (serviced 127, no false claims)
  ok   id_missing (serviced 127, no false claims)
  ok   extra_props (serviced 127, no false claims)
  ok   multipolygon (serviced 127, no false claims)
  ok   ccw_rings (serviced 129, no false claims)
  ok   unclosed_rings (serviced 127, no false claims)
  ok   xyz_coords (serviced 127, no false claims)
  ok   no_crs (serviced 127, no false claims)
  ok   shifted_origin (serviced 127, no false claims)
  ok   duplicate_vertex (serviced 127, no false claims)
  ok   k_exceeds_cands (serviced 3, no false claims)

passed 14, failed 0
