tau    k      pow   price      exact    search     sec note
0.25   50     8.0   metre       2289      2144     0.6 tuned
0.25   50     8.0   metre       2371      2189   150.2 lns +82
0.25   50     8.0   metre       2373         -       - exact claim +2
0.25   500    6.0   metre      10194     10090     4.6 tuned
0.25   500    6.0   metre      10461     10368   151.3 lns +267
0.25   500    6.0   metre      10462         -       - exact claim +1
0.25   1000   8.0   metre      12679     12665     8.6 tuned
0.25   1000   8.0   metre      12802     12798   152.4 lns +123
0.5    50     8.0   ant          681       615     0.6 tuned
0.5    50     8.0   ant          846       808   150.2 lns +165
0.5    50     8.0   ant          848         -       - exact claim +2
0.5    500    3.0   ant         5444      5252     2.9 tuned
0.5    500    3.0   ant         6075      5912   151.1 lns +631
0.5    500    3.0   ant         6080         -       - exact claim +5
0.5    1000   3.0   ant         9456      9306     6.3 tuned
0.5    1000   3.0   ant        10116     10011   152.1 lns +660
0.5    1000   3.0   ant        10117         -       - exact claim +1
0.75   50     3.0   ant          257       247     0.6 tuned
0.75   50     3.0   ant          377       369   150.2 lns +120
0.75   500    2.0   ant         2324      2278     2.5 tuned
0.75   500    2.0   ant         2863      2840   150.9 lns +539
0.75   1000   1.0   ant         4677      4589     4.4 tuned
0.75   1000   1.0   ant         5391      5334   152.2 lns +714
