[params] 3 tau x 3 k = 9 blocks from params.txt
tau    k          score  method                 timestamp
0.32   9           1397  focus+lns,p24.0,metre,lns300s,swap,ld,plat 2026-08-16T04:37:44
0.32   49          3997  focus+lns,p32.0,metre,lns300s,swap,ld,plat 2026-08-16T04:43:10
0.32   484        15951  focus+lns,p32.0,ant,lns300s,swap,ld,plat 2026-08-16T04:50:16
0.49   9            774  focus+lns,p32.0,ant,lns300s,swap,ld,plat 2026-08-16T04:55:32
0.49   49          2503  focus+lns,p24.0,ant,lns300s,swap,ld,plat 2026-08-16T05:01:01
0.49   484        10430  focus+lns,p12.0,ant,lns300s,swap,ld,plat 2026-08-16T05:07:56
0.68   9            233  focus+lns,p4.0,ant,lns300s,swap,ld,plat 2026-08-16T04:04:20
0.68   49          1150  focus+lns,p4.0,metre,lns300s,swap,ld,plat 2026-08-16T05:18:24
0.68   484         5553  focus+lns,p3.0,metre,lns300s,swap,ld,plat 2026-08-16T05:25:03

total 41988 serviced -> cand.txt
