[params] 3 tau x 3 k = 9 blocks from params.txt
tau    k          score  method                 timestamp
0.32   9           1399  focus+lns,p32.0,metre,lns300s,swap,ld,plat 2026-08-16T05:53:14
0.32   49          4016  focus+lns,p32.0,metre,lns300s,swap,ld,plat 2026-08-16T05:58:41
0.32   484        15978  focus+lns,p32.0,metre,lns300s,swap,ld,plat 2026-08-16T06:05:39
0.49   9            800  focus+lns,p32.0,ant,lns300s,swap,ld,plat 2026-08-16T06:10:55
0.49   49          2517  focus+lns,p24.0,ant,lns300s,swap,ld,plat 2026-08-16T06:16:26
0.49   484        10444  focus+lns,p12.0,ant,lns300s,swap,ld,plat 2026-08-16T06:23:33
0.68   9            239  focus+lns,p2.5,ant,lns300s,swap,ld,plat 2026-08-16T06:28:50
0.68   49          1154  focus+lns,p4.0,ant,lns300s,swap,ld,plat 2026-08-16T06:34:12
0.68   484         5553  focus+lns,p3.0,metre,lns300s,swap,ld,plat 2026-08-16T05:25:03

total 42100 serviced -> cand.txt
